Unnamed: 0,Name,ID,Formation,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 24
,France  UEFA,1335,3-5-2,85,85,86,83,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,10,23,27.36,25.96,
,Germany  UEFA,1337,4-2-3-1 Wide,85,83,85,81,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,10,23,25.64,25.78,
,Portugal  UEFA,1354,4-3-3 Holding,84,85,83,85,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,8,23,29.09,27.35,
,Spain  UEFA,1362,4-3-3 Holding,84,83,85,83,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,9,23,25.55,26.48,
,England  UEFA,1318,4-3-3 Attack,83,85,83,82,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,8,23,26.09,24.43,
,Belgium  UEFA,1325,3-4-2-1,83,83,82,80,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,8,23,29.18,28.87,
,Italy  UEFA,1343,4-3-3 Flat,83,84,84,82,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,9,23,27.18,27.13,
,Argentina  CONMEBOL,1369,4-3-3 Holding,83,86,81,81,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,9,23,27.82,27.35,
,Netherlands  UEFA,105035,5-2-1-2,82,82,81,83,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,8,23,26.0,25.7,
,Brazil  CONMEBOL,1370,4-3-3 Holding,80,80,80,80,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,10,23,26.45,25.87,
,Denmark  UEFA,1331,4-2-3-1 Wide,78,77,79,78,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,6,23,27.09,26.52,
,Austria  UEFA,1322,4-2-3-1 Narrow,77,79,78,77,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,4,23,26.55,26.61,
,Czechia  UEFA,1330,3-4-2-1,77,79,76,76,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,5,23,25.18,25.78,
,Poland  UEFA,1353,4-3-2-1,77,81,74,75,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,5,23,26.73,26.65,
,Mexico  CONCACAF,1386,4-3-3 Holding,77,79,78,74,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,7,23,26.09,26.83,
,Norway  UEFA,1352,4-1-4-1,76,81,76,73,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,4,23,23.82,25.04,
,Scotland  UEFA,1359,5-2-1-2,76,73,76,77,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,4,23,25.82,26.17,
,Sweden  UEFA,1363,4-3-3 Attack,76,78,75,76,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,5,23,25.45,26.87,
