Unnamed: 0,Name,ID,Formation,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 24
,Spain  UEFA,1362,4-4-2 Flat,85,83,83,82,Balanced,Little,Short,Free form,Normal,Risky,Normal,Free form,Press,Medium,Cover,20,19,30,26.45,25.17,
,Brazil  CONMEBOL,1370,4-1-2-1-2 Wide,84,83,81,82,Fast,Little,Short,Free form,Normal,Risky,Lots,Free form,Press,High,Cover,20,20,30,28.09,26.1,
,England  UEFA,1318,4-2-3-1 Narrow,83,81,84,82,Fast,Little,Long,Organised,Lots,Normal,Lots,Organised,Double,Medium,Cover,20,17,30,27.55,26.93,
,France  UEFA,1335,4-2-3-1 Narrow,83,82,82,82,Fast,Little,Mixed,Organised,Normal,Risky,Little,Organised,Press,Medium,Cover,20,19,30,26.55,26.17,
,Italy  UEFA,1343,4-4-2 Flat,83,83,81,80,Fast,Little,Short,Organised,Normal,Normal,Normal,Organised,Contain,Deep,Offside trap,20,19,30,28.91,27.17,
,Argentina  CONMEBOL,1369,4-2-2-2,83,83,81,78,Fast,Little,Short,Free form,Normal,Risky,Lots,Free form,Contain,Deep,Cover,20,18,30,27.18,26.33,
,Germany  UEFA,1337,4-2-3-1 Narrow,82,81,79,79,Fast,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Cover,20,19,30,25.55,24.8,
,Portugal  UEFA,1354,4-3-3 Flat,82,77,81,79,Fast,Little,Short,Free form,Lots,Risky,Lots,Free form,Press,Medium,Offside trap,20,16,30,27.82,27.1,
,Netherlands  UEFA,105035,4-2-3-1 Narrow,80,81,80,76,Balanced,Little,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Cover,20,17,25,26.82,26.4,
,Russia  UEFA,1357,4-5-1 Attack,80,79,77,76,Fast,Little,Mixed,Free form,Normal,Risky,Lots,Free form,Press,Medium,Cover,20,13,29,27.09,26.17,
,Croatia  UEFA,1328,4-1-2-1-2 Wide,78,77,74,73,Fast,Little,Mixed,Organised,Little,Risky,Normal,Free form,Press,Medium,Offside trap,20,13,30,26.82,26.37,
,Czechia  UEFA,1330,4-1-2-1-2 Wide,78,73,74,74,Balanced,Little,Long,Organised,Normal,Normal,Lots,Organised,Double,High,Cover,20,15,30,26.91,27.73,
,Türkiye  UEFA,1365,4-4-2 Flat,78,77,77,74,Fast,Little,Mixed,Organised,Lots,Risky,Lots,Organised,Double,Medium,Cover,20,14,30,26.91,25.47,
,Uruguay  CONMEBOL,1377,3-5-2,78,76,70,74,Fast,Little,Mixed,Free form,Lots,Normal,Lots,Free form,Press,Deep,Cover,20,11,30,24.45,25.73,
,Sweden  UEFA,1363,4-2-3-1 Narrow,77,78,73,74,Balanced,Little,Mixed,Organised,Lots,Risky,Lots,Organised,Double,Medium,Cover,20,11,30,26.27,25.67,
,Mexico  CONCACAF,1386,4-2-3-1 Narrow,77,73,74,74,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,15,30,27.09,26.2,
,Belgium  UEFA,1325,4-3-3 Flat,76,73,75,74,Balanced,Little,Long,Organised,Normal,Normal,Normal,Organised,Double,Medium,Cover,20,10,30,22.55,24.33,
,Greece  UEFA,1338,3-4-2-1,76,76,75,74,Balanced,Little,Mixed,Organised,Lots,Safe,Little,Organised,Contain,Deep,Offside trap,20,13,27,27.0,26.63,
,Switzerland  UEFA,1364,4-4-2 Flat,76,74,74,73,Balanced,Little,Mixed,Organised,Normal,Risky,Lots,Organised,Press,Medium,Cover,20,11,30,26.55,25.7,
,Ukraine  UEFA,1366,4-4-2 Flat,76,73,72,70,Balanced,Little,Long,Organised,Lots,Normal,Lots,Organised,Double,Medium,Cover,20,14,30,25.82,26.0,
,Cameroon  CAF,1395,4-4-1-1 Attack,76,73,73,74,Fast,Little,Long,Organised,Normal,Risky,Lots,Organised,Press,High,Cover,20,13,30,26.0,26.0,
,Denmark  UEFA,1331,4-4-1-1 Attack,75,72,72,74,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,12,30,27.64,27.0,
,Norway  UEFA,1352,4-4-2 Flat,75,75,73,72,Fast,Little,Long,Organised,Lots,Normal,Lots,Organised,Double,High,Offside trap,20,10,30,26.64,27.33,
,Republic of Ireland  UEFA,1355,4-4-2 Flat,75,72,74,73,Fast,Little,Long,Organised,Lots,Risky,Lots,Organised,Double,High,Cover,20,10,30,28.0,26.83,
,Romania  UEFA,1356,4-4-2 Flat,75,71,70,74,Fast,Little,Mixed,Organised,Lots,Normal,Lots,Organised,Press,Deep,Cover,20,10,30,27.27,27.23,
,Scotland  UEFA,1359,4-4-1-1 Attack,75,73,73,72,Fast,Little,Long,Organised,Lots,Normal,Lots,Organised,Double,Medium,Cover,20,11,30,26.82,26.6,
,Paraguay  CONMEBOL,1375,5-3-2,75,75,70,73,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Cover,20,8,30,28.09,27.5,
,Australia  AFC,1415,4-2-3-1 Narrow,75,71,71,68,Fast,Little,Long,Organised,Normal,Risky,Lots,Organised,Double,Medium,Cover,20,11,30,30.36,27.5,
,United States  CONCACAF,1387,4-4-2 Flat,74,72,71,70,Fast,Little,Mixed,Free form,Normal,Safe,Normal,Free form,Press,High,Cover,20,12,30,25.82,25.4,
,Austria  UEFA,1322,4-4-2 Flat,73,71,67,70,Fast,Little,Long,Organised,Normal,Normal,Normal,Organised,Double,Medium,Cover,20,10,30,23.45,23.97,
,Bulgaria  UEFA,1327,4-4-2 Flat,73,70,70,68,Fast,Little,Mixed,Organised,Normal,Risky,Normal,Organised,Double,Medium,Cover,20,9,30,28.64,27.63,
,Finland  UEFA,1334,4-4-1-1 Attack,72,67,69,70,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Double,Medium,Cover,20,6,30,28.82,27.7,
,Poland  UEFA,1353,4-4-2 Flat,72,69,68,67,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Double,Medium,Cover,20,11,29,27.36,26.97,
,Hungary  UEFA,1886,4-2-3-1 Narrow,72,69,72,66,Fast,Little,Long,Organised,Normal,Normal,Lots,Organised,Double,Medium,Cover,20,7,29,26.73,27.38,
,Ecuador  CONMEBOL,111465,4-4-1-1 Attack,72,67,69,65,Fast,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Cover,20,9,30,28.18,27.83,
,South Africa  CAF,111099,4-1-2-1-2 Wide,72,70,71,67,Fast,Little,Long,Organised,Normal,Normal,Lots,Organised,Double,High,Cover,20,8,27,26.64,26.96,
,Northern Ireland  UEFA,110081,4-4-2 Flat,71,66,66,70,Fast,Little,Long,Organised,Normal,Risky,Lots,Organised,Double,High,Cover,20,5,30,27.27,25.43,
,Slovenia  UEFA,1361,4-4-2 Flat,70,70,67,67,Fast,Little,Long,Organised,Normal,Normal,Lots,Organised,Double,Medium,Cover,20,5,30,25.64,25.67,
,Korea Republic  AFC,974,4-1-2-1-2 Wide,70,67,69,65,Fast,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Cover,20,10,30,26.55,25.57,
,China PR  AFC,1413,4-4-1-1 Attack,66,63,64,64,Fast,Little,Long,Organised,Normal,Normal,Lots,Organised,Double,High,Cover,20,4,30,26.55,26.93,
,New Zealand  OFC,111473,4-3-3 Flat,62,60,57,58,Fast,Little,Long,Organised,Lots,Risky,Lots,Organised,Double,High,Cover,20,6,30,29.18,25.97,
