Unnamed: 0,Name,ID,Formation,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 24
,Spain  UEFA,1362,4-3-3 Attack,84,86,84,82,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Cover,20,20,23,26.09,24.74,
,Germany  UEFA,1337,4-3-3 Attack,83,82,84,78,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Cover,20,19,23,23.91,23.91,
,Brazil  CONMEBOL,1370,4-3-3 False 9,83,83,81,83,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,20,23,25.91,24.83,
,Argentina  CONMEBOL,1369,4-1-3-2,82,85,82,79,Slow,Lots,Mixed,Organised,Normal,Normal,Lots,Free form,Press,Medium,Cover,20,18,23,27.09,27.13,
,Belgium  UEFA,1325,4-1-4-1,81,75,81,79,Slow,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Press,Medium,Cover,20,10,23,23.82,24.78,
,France  UEFA,1335,4-3-3 Holding,81,82,80,80,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,18,23,25.09,24.91,
,England  UEFA,1318,4-4-2 Flat,80,85,79,78,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Cover,20,17,23,22.91,23.91,
,Italy  UEFA,1343,3-1-4-2,80,79,78,78,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Deep,Cover,20,19,23,25.82,25.65,
,Portugal  UEFA,1354,4-3-3 Holding,80,82,79,80,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,Medium,Cover,20,16,23,27.45,25.48,
,Netherlands  UEFA,105035,5-3-2,79,84,76,75,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Cover,20,17,23,25.18,25.13,
,Türkiye  UEFA,1365,4-4-2 Flat,78,76,79,76,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,14,23,25.27,25.83,
,Colombia  CONMEBOL,111109,4-4-2 Flat,77,77,78,75,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,6,23,26.73,26.17,
,Russia  UEFA,1357,4-2-3-1 Wide,77,76,75,75,Balanced,Normal,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Cover,20,12,23,27.36,26.09,
