home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Argentina,France,3,3,88966,"Lusail Iconic Stadium, Lusail",Final,18-12-2022,(4) 3–3 (2),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Croatia,Morocco,2,1,44137,"Khalifa International Stadium, Doha",Third-place match,17-12-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Morocco,2,0,68294,"Al Bayt Stadium, Al Khor",Semi-finals,14-12-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Argentina,Croatia,3,0,88966,"Lusail Iconic Stadium, Lusail",Semi-finals,13-12-2022,3–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Morocco,Portugal,1,0,44198,"Al Thumama Stadium, ath-Thumāma",Quarter-finals,10-12-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
England,France,1,2,68895,"Al Bayt Stadium, Al Khor",Quarter-finals,10-12-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Croatia,Brazil,1,1,43893,"Education City Stadium, Doha",Quarter-finals,09-12-2022,(4) 1–1 (2),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Netherlands,Argentina,2,2,88235,"Lusail Iconic Stadium, Lusail",Quarter-finals,09-12-2022,(3) 2–2 (4),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Morocco,Spain,0,0,44667,"Education City Stadium, Doha",Round of 16,06-12-2022,(3) 0–0 (0),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Portugal,Switzerland,6,1,83720,"Lusail Iconic Stadium, Lusail",Round of 16,06-12-2022,6–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Japan,Croatia,1,1,42523,"Al Janoub Stadium, Al Wakrah",Round of 16,05-12-2022,(1) 1–1 (3),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Brazil,Korea Republic,4,1,43847,"Stadium 974, Doha",Round of 16,05-12-2022,4–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Poland,3,1,40989,"Al Thumama Stadium, ath-Thumāma",Round of 16,04-12-2022,3–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
England,Senegal,3,0,65985,"Al Bayt Stadium, Al Khor",Round of 16,04-12-2022,3–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Netherlands,United States,3,1,44846,"Khalifa International Stadium, Doha",Round of 16,03-12-2022,3–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Argentina,Australia,2,1,45032,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Round of 16,03-12-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Portugal,2,1,44097,"Education City Stadium, Doha",Group stage,02-12-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Ghana,Uruguay,0,2,43443,"Al Janoub Stadium, Al Wakrah",Group stage,02-12-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Cameroon,Brazil,1,0,85986,"Lusail Iconic Stadium, Lusail",Group stage,02-12-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Serbia,Switzerland,2,3,41378,"Stadium 974, Doha",Group stage,02-12-2022,2–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Canada,Morocco,1,2,43102,"Al Thumama Stadium, ath-Thumāma",Group stage,01-12-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Croatia,Belgium,0,0,43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,01-12-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Germany,2,4,67054,"Al Bayt Stadium, Al Khor",Group stage,01-12-2022,2–4,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Japan,Spain,2,1,44851,"Khalifa International Stadium, Doha",Group stage,01-12-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Australia,Denmark,1,0,41232,"Al Janoub Stadium, Al Wakrah",Group stage,30-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Tunisia,France,1,0,43627,"Education City Stadium, Doha",Group stage,30-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Mexico,1,2,84985,"Lusail Iconic Stadium, Lusail",Group stage,30-11-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Poland,Argentina,0,2,44089,"Stadium 974, Doha",Group stage,30-11-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Ecuador,Senegal,1,2,44569,"Khalifa International Stadium, Doha",Group stage,29-11-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Netherlands,Qatar,2,0,66784,"Al Bayt Stadium, Al Khor",Group stage,29-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
IR Iran,United States,0,1,42127,"Al Thumama Stadium, ath-Thumāma",Group stage,29-11-2022,0–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Wales,England,0,3,44297,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,29-11-2022,0–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Cameroon,Serbia,3,3,39789,"Al Janoub Stadium, Al Wakrah",Group stage,28-11-2022,3–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Ghana,2,3,43983,"Education City Stadium, Doha",Group stage,28-11-2022,2–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Brazil,Switzerland,1,0,43649,"Stadium 974, Doha",Group stage,28-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Portugal,Uruguay,2,0,88668,"Lusail Iconic Stadium, Lusail",Group stage,28-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Japan,Costa Rica,0,1,41479,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,27-11-2022,0–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Belgium,Morocco,0,2,43738,"Al Thumama Stadium, ath-Thumāma",Group stage,27-11-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Croatia,Canada,4,1,44374,"Khalifa International Stadium, Doha",Group stage,27-11-2022,4–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Spain,Germany,1,1,68895,"Al Bayt Stadium, Al Khor",Group stage,27-11-2022,1–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Tunisia,Australia,0,1,41823,"Al Janoub Stadium, Al Wakrah",Group stage,26-11-2022,0–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Poland,Saudi Arabia,2,0,44259,"Education City Stadium, Doha",Group stage,26-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Denmark,2,1,42860,"Stadium 974, Doha",Group stage,26-11-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Argentina,Mexico,2,0,88966,"Lusail Iconic Stadium, Lusail",Group stage,26-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Wales,IR Iran,0,2,40875,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,25-11-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Qatar,Senegal,1,3,41797,"Al Thumama Stadium, ath-Thumāma",Group stage,25-11-2022,1–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Netherlands,Ecuador,1,1,44833,"Khalifa International Stadium, Doha",Group stage,25-11-2022,1–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
England,United States,0,0,68463,"Al Bayt Stadium, Al Khor",Group stage,25-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Switzerland,Cameroon,1,0,39089,"Al Janoub Stadium, Al Wakrah",Group stage,24-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Uruguay,Korea Republic,0,0,41663,"Education City Stadium, Doha",Group stage,24-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Portugal,Ghana,3,2,42662,"Stadium 974, Doha",Group stage,24-11-2022,3–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Brazil,Serbia,2,0,88103,"Lusail Iconic Stadium, Lusail",Group stage,24-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Morocco,Croatia,0,0,59407,"Al Bayt Stadium, Al Khor",Group stage,23-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Germany,Japan,1,2,42608,"Khalifa International Stadium, Doha",Group stage,23-11-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Spain,Costa Rica,7,0,40013,"Al Thumama Stadium, ath-Thumāma",Group stage,23-11-2022,7–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Belgium,Canada,1,0,40432,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,23-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Argentina,Saudi Arabia,1,2,88012,"Lusail Iconic Stadium, Lusail",Group stage,22-11-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Denmark,Tunisia,0,0,42925,"Education City Stadium, Doha",Group stage,22-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Mexico,Poland,0,0,39369,"Stadium 974, Doha",Group stage,22-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Australia,4,1,40875,"Al Janoub Stadium, Al Wakrah",Group stage,22-11-2022,4–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
England,IR Iran,6,2,45334,"Khalifa International Stadium, Doha",Group stage,21-11-2022,6–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Senegal,Netherlands,0,2,41721,"Al Thumama Stadium, ath-Thumāma",Group stage,21-11-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
United States,Wales,1,1,43418,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,21-11-2022,1–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Qatar,Ecuador,0,2,67372,"Al Bayt Stadium, Al Khor",Group stage,20-11-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Croatia,4,2,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Final,15-07-2018,4–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Belgium,England,2,0,64406,"Gazprom Arena, Sankt-Petersburg",Third-place match,14-07-2018,2–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Croatia,England,2,1,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Semi-finals,11-07-2018,2–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
France,Belgium,1,0,64286,"Gazprom Arena, Sankt-Petersburg",Semi-finals,10-07-2018,1–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Sweden,England,0,2,39991,"Cosmos Arena, Samara",Quarter-finals,07-07-2018,0–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Russia,Croatia,2,2,44287,"Olimpiyskiy Stadion Fisht, Sochi",Quarter-finals,07-07-2018,(3) 2–2 (4),Russia,2018,,,,,,,,,,,,,,,,,,,,,
Uruguay,France,0,2,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Quarter-finals,06-07-2018,0–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Brazil,Belgium,1,2,42873,"Kazan Arena, Kazan",Quarter-finals,06-07-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Sweden,Switzerland,1,0,64042,"Gazprom Arena, Sankt-Petersburg",Round of 16,03-07-2018,1–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Colombia,England,1,1,44190,"Otkrytie Arena, Moskva",Round of 16,03-07-2018,(3) 1–1 (4),Russia,2018,,,,,,,,,,,,,,,,,,,,,
Brazil,Mexico,2,0,41970,"Cosmos Arena, Samara",Round of 16,02-07-2018,2–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Belgium,Japan,3,2,41466,"Rostov Arena, Rostov-na-Donu",Round of 16,02-07-2018,3–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Spain,Russia,1,1,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Round of 16,01-07-2018,(3) 1–1 (4),Russia,2018,,,,,,,,,,,,,,,,,,,,,
Croatia,Denmark,1,1,40851,"Stadion Nizhny Novgorod, Nizhny Novgorod",Round of 16,01-07-2018,(3) 1–1 (2),Russia,2018,,,,,,,,,,,,,,,,,,,,,
France,Argentina,4,3,42873,"Kazan Arena, Kazan",Round of 16,30-06-2018,4–3,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Uruguay,Portugal,2,1,44287,"Olimpiyskiy Stadion Fisht, Sochi",Round of 16,30-06-2018,2–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Japan,Poland,0,1,42189,"Volgograd Arena, Volgograd",Group stage,28-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Senegal,Colombia,0,1,41970,"Cosmos Arena, Samara",Group stage,28-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
England,Belgium,0,1,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,28-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Panama,Tunisia,1,2,37168,"Mordovia Arena, Saransk",Group stage,28-06-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Germany,2,0,41835,"Kazan Arena, Kazan",Group stage,27-06-2018,2–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Mexico,Sweden,0,3,33061,"Stadion Central'nyj, Yekaterinburg",Group stage,27-06-2018,0–3,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Switzerland,Costa Rica,2,2,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,27-06-2018,2–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Serbia,Brazil,0,2,44190,"Otkrytie Arena, Moskva",Group stage,27-06-2018,0–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Australia,Peru,0,2,44073,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,26-06-2018,0–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Denmark,France,0,0,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,26-06-2018,0–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Iceland,Croatia,1,2,43472,"Rostov Arena, Rostov-na-Donu",Group stage,26-06-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Nigeria,Argentina,1,2,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,26-06-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Egypt,2,1,36823,"Volgograd Arena, Volgograd",Group stage,25-06-2018,2–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Uruguay,Russia,3,0,41970,"Cosmos Arena, Samara",Group stage,25-06-2018,3–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Spain,Morocco,2,2,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,25-06-2018,2–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
IR Iran,Portugal,1,1,41685,"Mordovia Arena, Saransk",Group stage,25-06-2018,1–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
England,Panama,6,1,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,24-06-2018,6–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Japan,Senegal,2,2,32572,"Stadion Central'nyj, Yekaterinburg",Group stage,24-06-2018,2–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Poland,Colombia,0,3,42873,"Kazan Arena, Kazan",Group stage,24-06-2018,0–3,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Belgium,Tunisia,5,2,44190,"Otkrytie Arena, Moskva",Group stage,23-06-2018,5–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Mexico,1,2,43472,"Rostov Arena, Rostov-na-Donu",Group stage,23-06-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Germany,Sweden,2,1,44287,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,23-06-2018,2–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Brazil,Costa Rica,2,0,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,22-06-2018,2–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Nigeria,Iceland,2,0,40904,"Volgograd Arena, Volgograd",Group stage,22-06-2018,2–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Serbia,Switzerland,1,2,33167,"Kaliningrad Stadium, Kaliningrad",Group stage,22-06-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Denmark,Australia,1,1,40727,"Cosmos Arena, Samara",Group stage,21-06-2018,1–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
France,Peru,1,0,32789,"Stadion Central'nyj, Yekaterinburg",Group stage,21-06-2018,1–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Argentina,Croatia,0,3,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,21-06-2018,0–3,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Portugal,Morocco,1,0,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,20-06-2018,1–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Uruguay,Saudi Arabia,1,0,42678,"Rostov Arena, Rostov-na-Donu",Group stage,20-06-2018,1–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
IR Iran,Spain,0,1,42718,"Kazan Arena, Kazan",Group stage,20-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Colombia,Japan,1,2,40842,"Mordovia Arena, Saransk",Group stage,19-06-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Poland,Senegal,1,2,44190,"Otkrytie Arena, Moskva",Group stage,19-06-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Russia,Egypt,3,1,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,19-06-2018,3–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Sweden,Korea Republic,1,0,42300,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,18-06-2018,1–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Belgium,Panama,3,0,43257,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,18-06-2018,3–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Tunisia,England,1,2,41064,"Volgograd Arena, Volgograd",Group stage,18-06-2018,1–2,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Serbia,0,1,41432,"Cosmos Arena, Samara",Group stage,17-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Germany,Mexico,0,1,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,17-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Brazil,Switzerland,1,1,43109,"Rostov Arena, Rostov-na-Donu",Group stage,17-06-2018,1–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
France,Australia,2,1,41279,"Kazan Arena, Kazan",Group stage,16-06-2018,2–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Argentina,Iceland,1,1,44190,"Otkrytie Arena, Moskva",Group stage,16-06-2018,1–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Peru,Denmark,0,1,40502,"Mordovia Arena, Saransk",Group stage,16-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Croatia,Nigeria,2,0,31136,"Kaliningrad Stadium, Kaliningrad",Group stage,16-06-2018,2–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Egypt,Uruguay,0,1,27015,"Stadion Central'nyj, Yekaterinburg",Group stage,15-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Morocco,IR Iran,0,1,62548,"Gazprom Arena, Sankt-Petersburg",Group stage,15-06-2018,0–1,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Portugal,Spain,3,3,43866,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,15-06-2018,3–3,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Russia,Saudi Arabia,5,0,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,14-06-2018,5–0,Russia,2018,,,,,,,,,,,,,,,,,,,,,
Germany,Argentina,1,0,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Final,13-07-2014,1–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Brazil,Netherlands,0,3,68034,"Estádio Nacional de Brasília, Brasília",Third-place match,12-07-2014,0–3,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Netherlands,Argentina,0,0,63267,"Arena Corinthians, São Paulo",Semi-finals,09-07-2014,(2) 0–0 (4),Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Brazil,Germany,1,7,58141,"Estádio Governador Magalhães Pinto, Belo Horizonte",Semi-finals,08-07-2014,1–7,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Argentina,Belgium,1,0,68551,"Estádio Nacional de Brasília, Brasília",Quarter-finals,05-07-2014,1–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Netherlands,Costa Rica,0,0,51179,"Itaipava Arena Fonte Nova, Salvador",Quarter-finals,05-07-2014,(4) 0–0 (3),Brazil,2014,,,,,,,,,,,,,,,,,,,,,
France,Germany,0,1,74240,"Estadio Jornalista Mário Filho, Rio de Janeiro",Quarter-finals,04-07-2014,0–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Brazil,Colombia,2,1,60342,"Estádio Castelão, Fortaleza",Quarter-finals,04-07-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Argentina,Switzerland,1,0,63255,"Arena Corinthians, São Paulo",Round of 16,01-07-2014,1–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Belgium,United States,2,1,51227,"Itaipava Arena Fonte Nova, Salvador",Round of 16,01-07-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
France,Nigeria,2,0,67882,"Estádio Nacional de Brasília, Brasília",Round of 16,30-06-2014,2–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Germany,Algeria,2,1,43063,"Estádio José Pinheiro Borba, Porto Alegre",Round of 16,30-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Netherlands,Mexico,2,1,58817,"Estádio Castelão, Fortaleza",Round of 16,29-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Greece,1,1,41242,"Itaipava Arena Pernambuco, Recife",Round of 16,29-06-2014,(5) 1–1 (3),Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Brazil,Chile,1,1,57714,"Estádio Governador Magalhães Pinto, Belo Horizonte",Round of 16,28-06-2014,(3) 1–1 (2),Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Colombia,Uruguay,2,0,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro",Round of 16,28-06-2014,2–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
United States,Germany,0,1,41876,"Itaipava Arena Pernambuco, Recife",Group stage,26-06-2014,0–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Portugal,Ghana,2,1,67540,"Estádio Nacional de Brasília, Brasília",Group stage,26-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Belgium,0,1,61397,"Arena Corinthians, São Paulo",Group stage,26-06-2014,0–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Algeria,Russia,1,1,39311,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,26-06-2014,1–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,IR Iran,3,1,48011,"Itaipava Arena Fonte Nova, Salvador",Group stage,25-06-2014,3–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Nigeria,Argentina,2,3,43285,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,25-06-2014,2–3,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Honduras,Switzerland,0,3,40322,"Arena da Amazônia, Manaus",Group stage,25-06-2014,0–3,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Ecuador,France,0,0,73749,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,25-06-2014,0–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Costa Rica,England,0,0,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,24-06-2014,0–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Italy,Uruguay,0,1,39706,"Arena das Dunas, Natal",Group stage,24-06-2014,0–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Japan,Colombia,1,4,40340,"Arena Pantanal, Cuiabá",Group stage,24-06-2014,1–4,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Greece,Côte d'Ivoire,2,1,59095,"Estádio Castelão, Fortaleza",Group stage,24-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Australia,Spain,0,3,39375,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,23-06-2014,0–3,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Netherlands,Chile,2,0,62996,"Arena Corinthians, São Paulo",Group stage,23-06-2014,2–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Croatia,Mexico,1,3,41212,"Itaipava Arena Pernambuco, Recife",Group stage,23-06-2014,1–3,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Cameroon,Brazil,1,4,69112,"Estádio Nacional de Brasília, Brasília",Group stage,23-06-2014,1–4,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Belgium,Russia,1,0,73819,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,22-06-2014,1–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Algeria,2,4,42732,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,22-06-2014,2–4,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
United States,Portugal,2,2,40123,"Arena da Amazônia, Manaus",Group stage,22-06-2014,2–2,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Argentina,IR Iran,1,0,57698,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,21-06-2014,1–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Germany,Ghana,2,2,59621,"Estádio Castelão, Fortaleza",Group stage,21-06-2014,2–2,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Nigeria,Bosnia and Herzegovina,1,0,40499,"Arena Pantanal, Cuiabá",Group stage,21-06-2014,1–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Italy,Costa Rica,0,1,40285,"Itaipava Arena Pernambuco, Recife",Group stage,20-06-2014,0–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Switzerland,France,2,5,51003,"Itaipava Arena Fonte Nova, Salvador",Group stage,20-06-2014,2–5,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Honduras,Ecuador,1,2,39224,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,20-06-2014,1–2,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
